fichier	auteur	titre	source	siècle_composition	type_textuel	genre_textuel
ROLAND	Anonyme	Chanson de Roland	BFM	environ 11e	narratif	poème épique
ENEAS	Anonyme	Eneas	BFM	12e	narratif	roman
SBATH1	Anonyme	Vie de Sainte Bathilde	BFM	13e	narratif	hagiographie
CHARTES-HAIN13	Anonyme	Chartes de Hainaut	NaN	13e	non narratif	chartes
REGCRIM1	NaN	Registre criminel du Châtelet	BFM / DMF	14e	non narratif	registre
DAUDIN	Jean Daudin	De la érudition	BFM / DMF	14e	non narratif	didactique
MOREE	Anonyme	Chronique de Morée	BFM	14e	narratif	chronique historique
COMMYNES	Philippe de Commynes	Mémoires	BFM	15e	mixte (narratif et non narratif)	mémoires
JEHANDEPARIS	Anonyme	Jean de Paris	BFM	14e	narratif	roman
LIVREDESTROISVERTUS	Christine de Pizan	Le livre des trois vertus à l'enseignement des…	BFM	15e	non narratif	manuel d'éducation
DUBELLAYDEFFENSE	Joachim du Bellay	La défense et illustration de la langue française	BVH	16e	non narratif	traité argumentatif
RABELAISPANTAGRUEL-V2	François Rabelais	Pantagruel	BVH	16e	narratif	roman
SERVITUDEVOLONTAIRE	Étienne de la Boétie	Le discours de la servitude volontaire ou le c...	http://classiques.uqac.ca/	16e	non narratif	pamphlet
LERYBRESIL	Jean de Léry	Histoire d'un voyage fait en la terre du Brésil	BVH	16e	mixte (narratif et non narratif)	récit de voyage
DESPERRIERSRECRE	Bonaventure Des Periers	Les nouvelles récréations et joyeux devis	BVH	16e	NaN	NaN
LAFAYETTECLEVES	Marie-Madeleine de la Fayette	Princesse de Clèves	Wikisource/Frantext	17e	narratif	roman
COEFFETEAUHISTOIRE	Nicolas Coeffeteau	Histoire romaine	Frantext	17e	narratif	traité historique
BOSSUETDISCOURS	Jacques-Bénigne Bossuet	Discours sur l'histoire universelle	Frantext	17e	mixte (narratif et non narratif)	traité historique
PERRAULTCONTES-1	Charles Perrault	Contes (vers)	Frantext	17e	narratif	récit bref
PERRAULTCONTES-2	Charles Perrault	Contes (prose)	Frantext	17e	narratif	récit bref
SERRESAGRICULTURE	Olivier de Serres	Le théâtre d'agriculture et ménage des champs	Frantext	17e	non narratif	traité (agriculture ?)
DESCARTESDISCOURS	René Descartes	Discours de la méthode	Frantext	17e	non narratif	texte philosophique
PAULETVIRGINIE	Jacques-Henri Bernardin de Saint-Pierre	Paul et Virginie	Wikisource	18e	narratif	roman
RAMSAYCYRUS	André Michel Ramsay	Les voyages de Cyrus	Frantext	18e	narratif	roman
MONTESQUIEULOIS	Montesquieu	L'Esprit des lois	Frantext	18e	non narratif	traité argumentatif
VOLTAIREESSAI	Voltaire	Essai sur l'histoire générale et sur les moeur...	Frantext	18e	non narratif	traité argumentatif
DIDEROTESSAIS	Denis Diderot	Essais sur la peinture	Frantext	18e	non narratif	traité didactique
FABLES	François de Salignac de la Mothe-Fénelon	Fables et opuscules pédagogiques	Wikisource	18e	narratif	fables
BOUVARDETPECUCHET	Gustave Fleubert	Bouvard et Pécuchet	Wikisource	19e	narratif	roman
CAPITAINEFRACASSE	Théophile Gautier	Le capitaine Fracasse	Wikisource	19e	narratif	roman
VENTREDEPARIS	Emile Zola	Le ventre de Paris	Wikisource	19e	narratif	roman
MORTEAMOUREUSE	Théophile Gautier	La morte amoureuse	Wikisource	19e	narratif	nouvelle
